Jugador;País;Posc;Equipo;Liga;Edad;PJ;PG;PE;PP;Puntosjugador;Pts;Titular;Suplente;Mín;90 s;Gls;GC;Ass;G-TP;T.Penalti;Penal.Anotado;TA;TR;xG;xAG;Avances;Pases.Peligrosos;Pases.Recibidos;Valor Mercado (millones de e);Salario semanal;Salario anual;Dis;G/T;G-xG;Posesion;Regates;RegatesExt;RegExitosos%;DesafiosDef;DesafExt%;DisBloq;Intercep;Despejes;onG;onGC;Dentro-Fuera;Dentro-Fuera_xG
Noni Madueke;ENG;DL;Chelsea;PremierLeague;21;23;18;9;11;1,74;63;13;10;1053;11,7;5;63;2;4;1;1;2;0;2,5;2,6;76;52;136;30;50000;2600000;31;0,13;2,5;58,6;86;37;43;34;32,4;0;4;14;28;19;0,58;0,06
João Gomes;BRA;CC;Wolves;PremierLeague;22;34;13;7;18;1,32;46;32;2;2649;29,4;2;65;1;2;0;0;11;0;1,7;1,1;28;101;44;28;30000;1560000;26;0,08;0,3;48,9;55;26;47,3;99;44,4;8;18;29;38;51;-0,21;-0,56
João Palhinha;POR;CC;Fulham;PremierLeague;28;33;13;8;17;1,06;47;31;2;2699;30;4;61;1;4;0;0;13;0;3,3;0,8;8;97;14;55;80000;4160000;45;0,09;0,7;50,6;22;11;50;152;67,8;9;46;58;43;46;0,27;-0,29
Joelinton;BRA;CC;Newcastle Utd;PremierLeague;26;20;18;6;14;1,45;60;15;5;1279;14,2;2;62;1;2;0;0;6;0;3,1;2,8;29;56;60;42;85000;4420000;19;0,11;-1,1;52,2;35;17;48,6;38;36,8;7;19;11;26;23;-0,63;-0,41
Morgan Rogers;ENG;CC;Aston Villa;PremierLeague;21;11;20;8;10;1,91;68;8;3;638;7,1;3;61;1;3;0;0;3;0;1,4;0,6;22;28;30;15;20000;1040000;11;0,27;1,6;53,1;33;17;51,5;11;18,2;0;3;11;12;13;-0,66;-1,2
Lucas Paquetá;BRA;DL;West Ham;PremierLeague;25;31;14;10;14;1,58;52;31;0;2622;29,1;4;74;6;2;2;2;10;0;5,4;5,4;34;187;116;65;150000;7800000;40;0,05;-1,4;41,1;77;41;53,2;52;48,1;1;21;28;52;52;1,58;0,46
Morgan Gibbs-White;ENG;CC;Nott'ham Forest;PremierLeague;23;37;9;9;20;0,97;32;35;2;3156;35,1;5;67;10;4;1;1;9;0;6,9;8,4;79;171;181;40;80000;4160000;70;0,06;-1,9;40,6;116;44;37,9;33;42,4;8;17;21;46;59;1,33;0,43
Matheus Nunes;POR;CC;Manchester City;PremierLeague;24;17;28;7;3;0;91;7;0;661;7,3;0;34;2;0;0;0;0;0;0,8;1,1;28;34;58;40;130000;6760000;1;0;-0,1;65,2;17;11;64,7;6;33,3;0;6;1;1;5;-1,71;0,51
Rico Lewis;ENG;DF;Manchester City;PremierLeague;18;16;28;7;3;2,25;91;8;8;809;9;2;34;0;2;0;0;1;0;0,6;1,1;21;33;46;38;25000;1300000;5;0,4;1,4;65,2;9;4;44,4;7;42,9;1;4;6;26;9;0,34;-0,08
Scott McTominay;SCO;CC;Manchester Utd;PremierLeague;26;32;18;6;14;1,81;60;18;14;1901;21,1;7;58;1;7;0;0;2;0;5,7;0,8;29;64;47;32;60000;3120000;44;0,16;1,3;50,6;21;8;38,1;33;66,7;12;14;54;31;30;0,17;-0,09
Boubacar Kamara;FRA;CC;Aston Villa;PremierLeague;23;20;20;8;10;2,05;68;20;0;1652;18,4;0;61;1;0;0;0;7;1;0,1;1,3;19;83;10;38;150000;7800000;5;0;-0,1;53,1;30;14;46,7;47;51,1;7;21;16;36;22;0,71;0,5
Leon Bailey;JAM;CC;Aston Villa;PremierLeague;25;35;20;8;10;1,77;68;22;13;2068;23;10;61;9;10;0;0;5;0;6,3;9,2;102;82;226;45;100000;5200000;53;0,19;3,7;53,1;119;57;47,9;20;25;1;9;6;53;32;1,31;0,56
Sandro Tonali;ITA;CC;Newcastle Utd;PremierLeague;23;8;18;6;14;1,63;60;5;3;438;4,9;1;62;0;1;0;0;2;0;0,7;0,6;11;19;21;38;;;3;0,33;0,3;52,2;6;3;50;9;33,3;0;2;4;11;5;0,72;0,45
Brahim Díaz;MAR;DL;Real Madrid;LaLiga;23;31;29;8;1;2,52;95;18;13;1545;17,2;8;26;6;8;0;0;0;0;5,7;4,4;76;75;166;35;140192;7290000;38;0,21;2,3;59,2;109;55;50,5;13;46,2;1;5;2;44;9;0,79;0,35
Brais Méndez;ESP;CC;Real Sociedad;LaLiga;26;32;16;12;10;1,59;60;27;5;2413;26,8;5;39;6;5;0;0;7;0;4,2;4,2;45;128;121;40;42308;2200000;66;0,08;0,8;55,3;59;24;40,7;43;34,9;4;12;21;34;29;-0,44;-0,53
Mikel Oyarzabal;ESP;DL;Real Sociedad;LaLiga;26;33;16;12;10;1,64;60;23;10;2156;24;9;39;3;7;2;2;3;0;9,1;1,7;27;39;126;50;69231;3600000;38;0,18;-0,1;55,3;29;10;34,5;21;33,3;4;4;12;29;20;0,16;-0,07
Carlos Baleba;CMR;CC;Brighton;PremierLeague;19;27;12;12;14;1,07;48;15;12;1325;14,7;0;62;0;0;0;0;7;0;0,8;0,3;19;50;9;20;12500;650000;21;0;-0,8;59,8;22;11;50;46;50;7;18;30;14;28;-1,25;-0,89
Harvey Elliott;ENG;CC;Liverpool;PremierLeague;20;34;24;10;4;2,15;82;11;23;1352;15;3;41;6;3;0;0;2;0;2,7;3,5;44;128;122;35;40000;2080000;49;0,06;0,3;61,3;20;9;45;31;32,3;0;6;7;41;13;1,12;0,22
Kevin De Bruyne;BEL;CC;Manchester City;PremierLeague;32;18;28;7;3;2,67;91;15;3;1221;13,6;4;34;10;4;0;0;2;0;2,4;11,5;47;111;133;60;400000;20800000;44;0,09;1,6;65,2;33;10;30,3;20;35;0;4;4;40;8;1,13;0,39
Malo Gusto;FRA;DF;Chelsea;PremierLeague;20;27;18;9;11;1,81;63;19;8;1751;19,5;0;63;6;0;0;0;7;1;0,9;4,3;78;86;135;35;45000;2340000;15;0;-0,9;58,6;42;17;40,5;52;67,3;4;17;43;38;27;0,4;0,86
Guglielmo Vicario;ITA;PO;Tottenham;PremierLeague;26;38;20;6;12;1,74;66;38;0;3420;38;0;61;0;0;0;0;2;0;0;0;0;3;0;30;75000;3900000;0;;0;61,6;0;0;;1;0;0;1;31;74;61;;
Cristhian Mosquera;ESP;DF;Valencia;LaLiga;19;36;13;10;15;1,19;49;33;3;3075;34,2;0;45;0;0;0;0;2;0;0,7;0;14;77;4;15;3077;160000;9;0;-0,7;44,3;7;6;85,7;39;64,1;23;36;137;37;41;0,14;-0,33
Marcos Llorente;ESP;CC;Atlético Madrid;LaLiga;28;37;24;4;10;2,05;76;29;8;2565;28,5;6;43;4;6;0;0;5;0;4,1;5,6;71;106;179;30;160192;8330000;30;0,2;1,9;50,8;27;11;40,7;44;36,4;11;14;35;50;33;-0,46;-0,59
Unai Simón;ESP;PO;Athletic Club;LaLiga;26;36;19;11;8;1,81;68;36;0;3182;35,4;0;37;0;0;0;0;2;0;0;0;0;0;0;35;82308;4280000;0;;0;49,8;0;0;;3;66,7;0;1;9;58;33;1,09;0,41
Alberto Moleiro;ESP;DL;Las Palmas;LaLiga;19;28;10;10;18;1,04;40;21;7;1803;20;3;47;3;3;0;0;1;0;2;2,7;86;87;184;5;3654;190000;33;0,09;1;59,2;116;57;49,1;30;20;0;7;10;23;28;0,25;0,04
Álex Remiro;ESP;PO;Real Sociedad;LaLiga;28;37;16;12;10;1,62;60;37;0;3275;36,4;0;39;0;0;0;0;3;1;0;0;0;1;0;35;53846;2800000;0;;0;55,3;0;0;;0;;0;0;24;49;36;0,98;0,46
Alexander Sørloth;NOR;DL;Villarreal;LaLiga;27;34;14;11;13;1,41;53;30;4;2489;27,7;23;65;6;23;0;0;3;0;12,3;4,4;48;40;159;25;69231;3600000;78;0,29;10,7;49,6;72;30;41,7;6;33,3;4;0;26;56;46;1,33;0,54
Thibaut Courtois;BEL;PO;Real Madrid;LaLiga;31;4;29;8;1;2,5;95;4;0;332;3,7;0;26;0;0;0;0;0;0;0;0,1;0;0;0;30;288462;15000000;0;;0;59,2;0;0;;0;;0;0;0;12;0;1,82;0,08
Rodrigo De Paul;ARG;CC;Atlético Madrid;LaLiga;29;34;24;4;10;1,97;76;25;9;2075;23,1;3;43;5;3;0;0;7;0;1,8;5;73;202;55;30;128269;6670000;30;0,1;1,2;50,8;55;28;50,9;38;39,5;1;11;15;41;26;-0,15;-0,21
Jan Oblak;SVN;PO;Atlético Madrid;LaLiga;30;38;24;4;10;2;76;38;0;3420;38;0;43;0;0;0;0;1;0;0;0;0;0;0;35;400577;20830000;0;;0;50,8;1;1;100;0;;0;0;10;70;43;;
Nahuel Molina;ARG;DF;Atlético Madrid;LaLiga;25;30;24;4;10;1,9;76;19;11;1852;20,6;2;43;3;2;0;0;4;1;1,3;2,9;47;68;170;35;23077;1200000;12;0,17;0,7;50,8;29;16;55,2;54;48,1;3;9;36;39;21;0,36;0,11
Miguel Gutiérrez;ESP;DF;Girona;LaLiga;22;35;25;6;7;2,14;81;35;0;3032;33,7;2;46;7;2;0;0;4;0;2,8;7,5;74;146;184;40;6346;330000;34;0,06;-0,8;56,9;63;25;39,7;35;37,1;11;22;66;73;39;-0,15;-0,32
Samuel Lino;BRA;DF;Atlético Madrid;LaLiga;23;34;24;4;10;2,06;76;25;9;2080;23,1;4;43;5;4;0;0;1;0;5,6;4,7;131;84;215;25;24038;1250000;54;0,07;-1,6;50,8;75;40;53,3;70;50;1;14;27;46;21;0,95;0,29
Antonio Rüdiger;GER;DF;Real Madrid;LaLiga;30;33;29;8;1;2,55;95;30;3;2709;30,1;1;26;0;1;0;0;7;0;1,5;1,2;17;88;1;25;280385;14580000;19;0,05;-0,5;59,2;3;1;33,3;20;80;20;11;89;65;23;-1,01;-0,03
Aitor Paredes;ESP;DF;Athletic Club;LaLiga;23;34;19;11;8;1,76;68;31;3;2704;30;1;37;0;1;0;0;9;1;1,2;0,2;6;107;1;10;2885;150000;14;0,07;-0,2;49,8;3;2;66,7;14;50;11;33;104;47;27;0,16;0,42
Igor Zubeldia;ESP;DF;Real Sociedad;LaLiga;26;30;16;12;10;1,57;60;29;1;2518;28;0;39;2;0;0;0;11;1;0,8;1,1;28;129;0;38;38462;2000000;12;0;-0,8;55,3;8;4;50;26;73,1;19;32;97;38;28;0,16;0,57
Antoine Griezmann;FRA;DL;Atlético Madrid;LaLiga;32;33;24;4;10;2;76;31;2;2644;29,4;16;43;6;12;4;4;5;0;12,3;5,6;43;118;196;25;240385;12500000;75;0,16;3,7;50,8;38;22;57,9;41;36,6;3;10;23;52;33;-0,28;-0,47
Rodrigo Riquelme;ESP;DF;Atlético Madrid;LaLiga;23;34;24;4;10;1,97;76;17;17;1528;17;3;43;5;3;0;0;1;0;2,7;3,1;87;53;166;25;11923;620000;37;0,08;0,3;50,8;64;24;37,5;46;39,1;0;9;20;27;26;-1,18;-0,41
Andriy Lunin;UKR;PO;Real Madrid;LaLiga;24;21;29;8;1;2,52;95;21;0;1890;21;0;26;0;0;0;0;2;0;0;0,3;0;0;0;16;54038;2810000;0;;0;59,2;0;0;;1;0;0;0;15;52;17;0,14;0,19
Ander Barrenetxea;ESP;DL;Real Sociedad;LaLiga;21;29;16;12;10;1,45;60;20;9;1427;15,9;4;39;1;4;0;0;1;0;3,5;1,3;56;39;163;20;12500;650000;37;0,11;0,5;55,3;78;38;48,7;26;38,5;1;6;5;24;18;0,11;0,13
Andreas Christensen;DEN;DF;Barcelona;LaLiga;27;30;26;7;5;2,17;85;27;3;1979;22;2;44;2;2;0;0;4;0;1;1,1;24;117;6;40;173077;9000000;12;0,17;1;64,3;6;3;50;28;57,1;10;21;41;37;26;-1;-0,47
Johnny Cardoso;USA;CC;Betis;LaLiga;21;17;14;15;9;1,53;57;15;2;1328;14,8;1;45;2;1;0;0;3;0;1,1;0,5;10;45;11;20;;;12;0,08;-0,1;50,4;20;11;55;33;66,7;5;32;31;21;15;0,54;0,03
José María Giménez;URU;DF;Atlético Madrid;LaLiga;28;22;24;4;10;2,18;76;14;8;1326;14,7;0;43;0;0;0;0;5;0;0,4;0,1;2;26;1;35;120192;6250000;7;0;-0,4;50,8;3;2;66,7;16;31,3;12;10;95;31;15;0,61;0,29
Iñaki Williams;GHA;DL;Athletic Club;LaLiga;29;34;19;11;8;1,74;68;32;2;2844;31,6;12;37;3;12;0;0;4;0;9,4;6,3;114;78;333;25;219231;11400000;93;0,13;2,6;49,8;120;49;40,8;34;38,2;8;14;29;52;31;0,2;0,65
Yangel Herrera;VEN;CC;Girona;LaLiga;25;29;25;6;7;2,31;81;27;2;2107;23,4;5;46;0;5;0;0;9;0;4,9;2,4;31;92;76;25;21154;1100000;52;0,1;0,1;56,9;31;22;71;56;53,6;8;24;45;53;26;0,33;0,41
Beñat Prados;ESP;CC;Athletic Club;LaLiga;22;26;19;11;8;1,65;68;16;10;1449;16,1;0;37;0;0;0;0;1;0;0,5;0,5;23;87;30;20;3462;180000;7;0;-0,5;49,8;19;12;63,2;42;54,8;5;23;27;26;15;0,09;-0,28
Óscar Mingueza;ESP;DF;Celta Vigo;LaLiga;24;38;10;11;17;1,08;41;33;5;2998;33,3;2;57;2;2;0;0;4;0;2,6;3,9;74;170;134;5;22115;1150000;28;0,07;-0,6;46,1;78;36;46,2;80;46,3;7;17;49;41;48;0,64;0,39
Vitor Roque;BRA;DL;Barcelona;LaLiga;18;14;26;7;5;2,79;85;2;12;328;3,6;2;44;0;2;0;0;4;1;2,5;0;12;2;26;40;67308;3500000;13;0,15;-0,5;64,3;15;4;26,7;2;0;0;0;5;9;4;0,5;0,2
Eric García;ESP;DF;Girona;LaLiga;22;30;25;6;7;3;81;30;2;2637;29,3;5;46;0;5;0;0;4;0;2,8;0,5;45;221;18;15;115385;6000000;16;0,31;2,2;56,9;0;0;;0;;1;0;0;4;1;3,88;3,59
Beñat Turrientes;ESP;CC;Real Sociedad;LaLiga;21;29;16;12;10;1,86;60;19;10;1687;18,7;0;39;1;0;0;0;4;0;1,2;0,5;26;51;31;5;9615;500000;23;0;-1,2;55,3;43;21;48,8;30;43,3;8;6;17;23;19;-0,2;-0,26
Arsen Zakharyan;RUS;CC;Real Sociedad;LaLiga;20;29;16;12;10;1,52;60;15;14;1228;13,6;1;39;2;1;0;0;1;0;2,4;2,1;28;47;88;18;14423;750000;33;0,03;-1,4;55,3;29;10;34,5;22;40,9;0;4;10;15;17;-0,72;0,28
Ferland Mendy;FRA;DF;Real Madrid;LaLiga;28;23;29;8;1;2,43;95;21;2;1720;19,1;0;26;0;0;0;0;5;0;0,2;0,9;19;84;96;18;200385;10420000;5;0;-0,2;59,2;28;13;46,4;14;78,6;2;13;26;44;9;0,45;0,18
Julen Agirrezabala;ESP;PO;Athletic Club;LaLiga;22;4;19;11;8;1,5;68;2;2;238;2,6;0;37;0;0;0;0;0;0;0;0;0;0;0;10;8077;420000;0;;0;49,8;0;0;;0;;0;0;0;3;4;-1,09;-0,41
Ilias Akhomach;MAR;CC;Villarreal;LaLiga;19;31;14;11;13;1,45;53;17;14;1511;16,8;2;65;2;2;0;0;4;0;3,2;2,6;68;45;160;6;11538;600000;30;0,07;-1,2;49,6;128;57;44,5;20;50;2;13;13;26;33;-0,75;-0,22
Abde Ezzalzouli;MAR;DL;Betis;LaLiga;21;26;14;15;9;2;57;6;2;865;9,6;1;45;0;1;0;1;1;0;3;0,3;57;25;89;8;15385;800000;4;0;-0,2;50,4;4;2;50;1;0;0;0;0;2;0;1,76;1,75
Aimar Oroz;ESP;CC;Osasuna;LaLiga;21;33;12;9;17;1,36;45;26;7;2339;26;2;56;1;1;1;1;3;0;3,5;1,6;52;103;126;7;6923;360000;24;0,04;-1,5;47,5;52;26;50;37;35,1;2;16;11;29;34;0,31;-0,12
Marc-André ter Stegen;GER;PO;Barcelona;LaLiga;31;28;26;7;5;2,32;85;28;0;2520;28;0;44;0;0;0;0;3;0;0;0,1;0;1;0;30;121154;6300000;0;;0;64,3;0;0;;0;;0;0;3;58;27;0,71;-0,44
Ángel Correa;ARG;DL;Atlético Madrid;LaLiga;28;32;24;4;10;1,94;76;14;18;1528;17;9;43;2;8;1;1;3;0;7,9;3,6;40;61;128;18;67308;3500000;42;0,19;1,1;50,8;56;28;50;17;29,4;0;2;6;36;19;0,53;0,6
Yarek Gasiorowski;ESP;DF;Valencia;LaLiga;18;14;13;10;15;1;49;7;7;735;8,2;0;45;0;0;0;0;1;0;0;0;4;15;10;1;3846;200000;1;0;0;44,3;3;1;33,3;19;68,4;8;15;50;9;14;-0,61;0,27
Gorka Guruzeta;ESP;DL;Athletic Club;LaLiga;26;32;19;11;8;1,78;68;30;2;2217;24,6;14;37;5;14;0;1;2;0;11,6;2,4;18;55;102;22;4808;250000;63;0,22;2,4;49,8;33;19;57,6;30;30;2;17;23;43;20;0,86;0,83
Robert Lewandowski;POL;DL;Barcelona;LaLiga;34;35;26;7;5;2,23;85;32;3;2750;30,6;19;44;8;15;4;4;5;0;18,1;4,9;43;64;168;20;520769;27080000;90;0,17;0,9;64,3;54;23;42,6;12;33,3;4;9;18;67;35;0,64;-0,33
Isaac Romero;ESP;DL;Sevilla;LaLiga;23;14;10;11;17;1,57;41;14;0;1039;11,5;4;54;4;4;0;0;2;0;7,3;1,7;31;16;64;15;40000;2080000;42;0,1;-3,3;50,3;31;13;41,9;9;55,6;0;0;11;15;13;0,48;0,07
Abner;BRA;DF;Betis;LaLiga;23;23;14;15;9;1,61;57;15;8;1400;15,6;0;45;1;0;0;0;3;0;0,1;1;14;33;58;;19231;1000000;4;0;-0,1;50,4;13;7;53,8;34;50;5;15;62;20;20;-0,13;-0,8
Claudio Bravo;CHI;PO;Betis;LaLiga;40;7;14;15;9;1,86;57;7;0;630;7;0;45;0;0;0;0;0;0;0;0;0;1;0;1;23077;1200000;0;;0;50,4;0;0;;1;0;0;0;2;11;5;0,95;0,8
Abdel Abqar;MAR;DF;Alavés;LaLiga;24;27;12;10;16;1,07;46;27;0;2312;25,7;0;46;0;0;0;0;10;0;0,5;0,2;7;49;1;3;7115;370000;10;0;-0,5;41,8;5;3;60;35;60;26;23;115;21;30;-0,27;-0,58
Marcos Acuña;ARG;DF;Sevilla;LaLiga;31;21;10;11;17;1,14;41;18;3;1292;14,4;1;54;2;1;0;0;7;0;0,3;1,5;23;59;42;1;55769;2900000;9;0,11;0,7;50,3;21;10;47,6;14;64,3;2;4;25;20;21;0,14;-0,07
Fran Vieites;ESP;PO;Betis;LaLiga;24;4;14;15;9;1,25;57;3;1;315;3,5;0;45;0;0;0;0;0;0;0;0;0;0;0;0,8;;;0;;0;50,4;0;0;;1;100;0;0;2;2;4;-0,72;0,45
Aaron Cresswell;ENG;DF;West Ham;PremierLeague;33;11;14;10;14;1;52;4;7;436;4,8;0;74;0;0;0;0;1;0;0;0,4;4;26;6;0,8;50000;2600000;0;;0;41,1;1;0;0;3;66,7;3;3;7;6;11;-0,76;0,79
Lucien Agoume;FRA;CC;Sevilla;LaLiga;21;12;10;11;17;1,42;41;9;3;777;8,6;0;54;0;0;0;0;3;0;0,9;0,6;7;35;9;;14038;730000;6;0;-0,9;50,3;8;7;87,5;12;75;1;7;8;11;12;0,05;-0,09
Aitor Ruibal;ESP;DF;Betis;LaLiga;27;18;14;15;9;1,33;57;11;7;1017;11,3;2;45;1;2;0;0;5;0;0,8;1,3;22;54;50;5;11538;600000;13;0,15;1,2;50,4;45;27;60;59;54,2;1;14;33;14;16;-0,36;-0,53
Joseph Aidoo;GHA;DF;Celta Vigo;LaLiga;27;6;10;11;17;0,83;41;4;2;407;4,5;0;57;0;0;0;0;0;0;0,1;0,1;2;12;0;6;30769;1600000;3;0;-0,1;46,1;2;2;100;8;50;1;4;28;3;6;-0,42;-0,31
Héctor Bellerín;ESP;DF;Betis;LaLiga;28;23;14;15;9;1,61;57;20;3;1711;19;0;45;1;0;0;0;0;1;0,2;1,6;32;81;80;8;60000;3120000;2;0;-0,2;50,4;48;17;35,4;53;37,7;5;22;40;22;18;0,26;0,29
Sergio Akieme;ESP;DF;Almería;LaLiga;25;19;3;12;23;0,32;21;19;0;1675;18,6;2;75;0;2;0;0;2;0;1,2;2,2;27;28;72;;11538;600000;9;0,22;0,8;46,4;40;21;52,5;16;81,3;4;10;34;17;36;-0,35;-0,22
Aaron Hickey;SCO;DF;Brentford;PremierLeague;21;9;10;9;19;1,11;39;9;0;713;7,9;0;65;0;0;0;0;5;0;0,2;0,1;9;21;13;28;30000;1560000;7;0;-0,2;45,2;14;5;35,7;7;100;3;3;10;10;12;-0,02;-0,07
Aaron Ramsdale;ENG;PO;Arsenal;PremierLeague;25;6;28;5;5;2,67;89;6;0;540;6;0;29;0;0;0;0;0;0;0;0;0;2;0;22;120000;6240000;0;;0;58,2;0;0;;0;;0;0;3;11;5;-0,75;-0,45
David Alaba;AUT;DF;Real Madrid;LaLiga;31;14;29;8;1;2,36;95;14;0;1154;12,8;0;26;1;0;0;0;2;0;1;0,7;9;51;13;25;432692;22500000;14;0;-1;59,2;0;0;;8;50;7;15;34;23;10;-0,89;-0,38
Juan Miranda;ESP;DF;Betis;LaLiga;23;25;14;15;9;1,52;57;21;4;1858;20,6;1;45;1;1;0;0;8;0;1,6;1,9;35;103;95;7;25000;1300000;16;0,06;-0,6;50,4;19;7;36,8;31;54,8;6;19;62;24;22;0,04;0,88
Raúl Albiol;ESP;DF;Villarreal;LaLiga;37;26;14;11;13;1,15;53;24;2;2031;22,6;0;65;1;0;0;0;6;0;0,4;0,8;8;62;0;2;54615;2840000;6;0;-0,4;49,6;0;0;;27;66,7;24;16;102;34;36;-0,22;-0,52
Aaron Ramsey;ENG;CC;Burnley;PremierLeague;20;14;5;9;24;0,36;24;5;9;527;5,9;0;78;0;0;0;0;1;0;0,3;0,4;8;8;17;7;25000;1300000;6;0;-0,3;47,4;10;3;30;16;50;2;1;10;4;17;-1,47;-0,31
Rubén Alcaraz;ESP;CC;Cádiz;LaLiga;32;36;6;15;17;0,89;33;36;0;3134;34,8;3;55;1;1;2;2;14;0;3,3;1,4;27;154;37;2;14423;750000;46;0,02;-0,3;43,3;23;10;43,5;121;41,3;14;33;55;26;48;1,57;0,88
Germán Pezzella;ARG;DF;Betis;LaLiga;32;32;14;15;9;1,63;57;32;0;2767;30,7;1;45;0;1;0;0;7;0;2;0,3;5;64;1;5;48077;2500000;23;0,04;-1;50,4;6;3;50;38;60,5;18;31;150;41;31;1,29;0,53
Omar Alderete;PAR;DF;Getafe;LaLiga;26;31;10;13;15;1,06;43;24;7;2195;24,4;0;54;1;0;0;0;8;1;1,2;1;23;98;9;4;23077;1200000;24;0;-1,2;44,8;13;9;69,2;35;54,3;18;13;111;26;34;-0,03;0,14
Iván Alejo;ESP;CC;Cádiz;LaLiga;28;30;6;15;17;1;33;21;9;1692;18,8;0;55;2;0;0;0;17;0;0,5;1,3;48;31;104;1;9038;470000;11;0;-0,5;43,3;61;24;39,3;57;29,8;0;7;17;14;26;0,25;-0,03
Carles Aleñá;ESP;CC;Getafe;LaLiga;25;29;10;13;15;1,1;43;10;19;1020;11,3;1;54;1;1;0;0;6;0;1,2;1,6;12;23;45;1,5;12115;630000;16;0,06;-0,2;44,8;28;6;21,4;24;41,7;3;4;13;12;22;-0,81;-0,08
Mohamed Ali Cho;FRA;DL;Real Sociedad;LaLiga;19;11;16;12;10;1,73;60;1;10;249;2,8;0;39;0;0;0;0;0;0;0,4;0,1;16;3;19;;6731;350000;3;0;-0,4;55,3;20;7;35;7;28,6;0;1;1;5;7;-1,12;0,36
Tadeo Allende;ARG;CC;Celta Vigo;LaLiga;24;10;10;11;17;0,8;41;2;8;336;3,7;1;57;0;1;0;0;1;0;1,2;0,4;9;7;25;;20192;1050000;8;0,13;-0,2;46,1;8;3;37,5;6;66,7;0;3;3;7;8;0,02;0,05
Chadi Riad;MAR;DF;Betis;LaLiga;20;26;14;15;9;1,46;57;24;2;2164;24;0;45;0;0;0;0;1;0;0,7;0,2;4;34;1;6;3846;200000;11;0;-0,7;50,4;0;0;;27;63;14;23;108;32;30;0,01;0,08
Domingos André Ribeiro Almeida;POR;DL;Valencia;LaLiga;23;18;13;10;15;1;49;12;6;965;10,7;2;45;1;2;0;0;0;0;0,6;1,2;24;50;33;;11538;600000;10;0,2;1,4;44,3;29;13;44,8;19;47,4;1;6;5;15;11;0,7;0,35
Marcos Alonso;ESP;DF;Barcelona;LaLiga;32;5;26;7;5;3;85;3;2;252;2,8;0;44;0;0;0;0;0;0;0,1;0,5;11;14;33;3;120192;6250000;3;0;-0,1;64,3;6;3;50;4;75;0;4;6;7;4;0,16;-0,38
Guido Rodríguez;ARG;CC;Betis;LaLiga;29;24;14;15;9;1,58;57;22;2;1846;20,5;2;45;0;2;0;0;6;0;0,7;0,8;8;65;18;8;32692;1700000;18;0,11;1,3;50,4;14;10;71,4;55;61,8;6;29;44;30;23;0,57;0,28
Adrià Altimira;ESP;DF;Villarreal;LaLiga;22;11;14;11;13;1;53;10;1;775;8,6;0;65;0;0;0;0;3;0;0;0,1;10;29;15;;3077;160000;1;0;0;49,6;16;11;68,8;24;37,5;5;5;18;11;22;-1,65;-0,77
Sergi Altimira;ESP;CC;Betis;LaLiga;21;14;14;15;9;1,43;57;6;8;568;6,3;1;45;0;1;0;0;1;0;0,2;0,3;10;31;8;4;3846;200000;7;0,14;0,8;50,4;11;6;54,5;23;47,8;1;9;10;6;11;-1,04;-0,12
Abderrahman Rebbach;ALG;DL;Alavés;LaLiga;24;23;12;10;16;0,7;46;6;17;722;8;1;46;0;1;0;0;1;0;0,8;1,8;34;14;78;;;;17;0,06;0,2;41,8;28;10;35,7;15;33,3;1;3;7;5;6;0,18;0,06
Gastón Álvarez;URU;DF;Getafe;LaLiga;23;34;10;13;15;1,15;43;29;5;2537;28,2;2;54;0;2;0;0;7;0;0,7;0,6;11;63;40;3;12500;650000;14;0,14;1,3;44,8;21;9;42,9;57;64,9;11;35;80;24;40;-0,98;-0,54
Marc Roca;ESP;CC;Betis;LaLiga;26;26;14;15;9;1,31;57;24;2;1980;22;2;45;2;2;0;0;5;0;1,1;1,4;24;126;20;10;58269;3030000;20;0,1;0,9;50,4;21;11;52,4;53;56,6;6;17;23;24;25;-0,3;-0,12
Hugo Álvarez;ESP;CC;Celta Vigo;LaLiga;20;12;10;11;17;1,83;41;8;4;762;8,5;1;57;1;1;0;0;1;0;1;1,5;36;34;80;;;;12;0,08;0;46,1;29;16;55,2;20;45;1;5;9;12;10;0,68;0,74
Abdón Prats;ESP;DL;Mallorca;LaLiga;30;34;8;16;14;1,03;40;11;23;1270;14,1;6;44;1;6;0;0;4;0;3,2;2,4;9;26;49;;7308;380000;33;0,18;2,8;45;18;8;44,4;5;60;3;2;12;16;15;0,57;0,23
Yeray Álvarez;ESP;DF;Athletic Club;LaLiga;28;19;19;11;8;1,84;68;14;5;1152;12,8;0;37;0;0;0;0;1;1;0,3;0,1;13;55;2;30;46154;2400000;7;0;-0,3;49,8;3;2;66,7;19;63,2;5;11;34;19;12;-0,13;-0,31
Abdoulaye Doucouré;MLI;DL;Everton;PremierLeague;30;32;13;9;16;1,44;42;32;0;2629;29,2;7;51;1;7;0;0;7;0;8,8;2,9;55;97;140;5;130000;6760000;47;0,15;-1,8;40,8;48;25;52,1;46;39,1;3;15;19;33;36;0,81;-0,08
Selim Amallah;MAR;DL;Valencia;LaLiga;26;20;13;10;15;1,45;49;7;13;604;6,7;0;45;1;0;0;0;5;1;0,4;0,3;7;21;36;2;8846;460000;11;0;-0,4;44,3;42;18;42,9;9;33,3;0;11;6;4;6;-0,2;-0,35
